医療機関略称,所在地,電話番号
ＬＣクリニック仙台,仙台市青葉区中央１丁目３−１　アエル１１階,022-267-1020
往診クリニック,仙台市青葉区花京院２丁目１−７,022-212-8501
大内医院,仙台市青葉区福沢町１−３４,022-222-9870
大平メンタルクリニック,仙台市青葉区八幡３丁目２－１１,022-723-5573
大野内科医院,仙台市青葉区昭和町５−４６,022-234-4171
おおひら内科クリニック,仙台市青葉区二日町１６−２７,022-224-1627
奥口内科クリニック,仙台市青葉区中央２丁目１０−１２,022-215-7171
小野寺内科医院,仙台市青葉区昭和町１−２９,022-234-4743
小野よしあき内科クリニック,仙台市青葉区米ケ袋２丁目３−４　米ケ袋ベルサンテ１Ｆ,022-211-0125
貝ヶ森きむら医院,仙台市青葉区貝ヶ森６丁目１５−８,022-279-7200
海瀬内科クリニック,仙台市青葉区木町通１丁目６−３２　２０２,022-723-5155
貝山病院,仙台市青葉区大町２丁目１２−８,022-222-5945
柿沼　青葉心理クリニック,仙台市青葉区上杉１丁目１７−３０　６０１,022-215-3525
笠原内科循環器科クリニック,仙台市青葉区木町１７−３,022-301-5111
柏木クリニック,仙台市青葉区柏木２丁目６－２,022-275-1310
片倉内科,仙台市青葉区北根黒松９−２３,022-233-2071
花壇医院,仙台市青葉区花壇５−３,022-222-0052
かとう内科医院,仙台市青葉区一番町１丁目５－３５,022-722-5005
かねとう腎泌尿器科クリニック,仙台市青葉区中央３丁目１−２２　エキニア青葉通り８階,022-216-7111
河北診療所内科,仙台市青葉区五橋１丁目２−２８,022-211-1457
上愛子クリニック,仙台市青葉区上愛子字街道７７−３,022-392-0330
上杉胃腸科内科クリニック,仙台市青葉区上杉１丁目６－１０　EARTH BLUE 仙台勾当台3Ｆ,022-724-7822
かやま小児科医院,仙台市青葉区昭和町２－２７,022-234-8870
ＫＡＲＡＤＡ　ＰＯＲＴ　ｉｎｄｅｎｅ,仙台市青葉区一番町１丁目９－１　仙台トラストタワー３Ｆ,
川平内科,仙台市青葉区川平３丁目４０−１０,022-303-2523
かわむらこどもクリニック,仙台市青葉区高松１丁目１６−１,022-271-5255
河村内科外科,仙台市青葉区中山５丁目６－１,022-278-0533
菊地胃腸科内科医院,仙台市青葉区春日町１０−３０,022-261-3344
北仙台診療所,仙台市青葉区通町２丁目５−６,022-272-5850
北仙台はせがわクリニック,仙台市青葉区昭和町４－３　北仙台ひまわりビル２階,022-346-0630
北仙台レディースクリニック,仙台市青葉区昭和町５−２８　ロイヤルオフィス北仙台３Ｆ,022-234-3541
北田内科小児科医院,仙台市青葉区八幡３丁目６−１５,022-223-0208
きたのはら女性クリニック,仙台市青葉区国分町２丁目２−５　柴崎ビル８Ｆ,022-722-2077
北山内科クリニック,仙台市青葉区北山３丁目１−３０,022-275-2255
北四番丁クリニック,仙台市青葉区上杉１丁目１７－２０　第６銅谷ビル１Ｆ,022-266-0725
きぼうの杜クリニック,仙台市青葉区芋沢字権現森山８２ー１４,022-227-6033
木町ささきクリニック,仙台市青葉区木町９－２４,022-341-8121
木町さとうクリニック,仙台市青葉区木町通１丁目８−１５　木町通オフィスビル３階,022-222-4412
木町小児科医院,仙台市青葉区柏木３丁目１−４３,022-273-3505
木町病院,仙台市青葉区木町通１丁目７−１３,022-224-5511
草刈内科医院,仙台市青葉区東照宮２丁目１−２,022-271-9251
くにみ内科クリニック,仙台市青葉区国見４丁目２−５,022-301-6530
栗生内科胃腸科医院,仙台市青葉区落合６丁目１−１,022-392-1333
クレアクリニック,仙台市青葉区中央３丁目１－２２　EQUINIA青葉通り６F,022-226-7608
健康相談所興生館,仙台市青葉区宮町１丁目１−５,022-221-4461
玄徳内科,仙台市青葉区本町１丁目１３−３２　オーロラビル１Ｆ,022-216-5601
小泉内科医院,仙台市青葉区上杉４丁目２−４７,022-222-8703
厚生仙台クリニック,仙台市青葉区柏木１丁目５−４５,022-727-7667
勾当台はやさか内科クリニック,仙台市青葉区国分町３丁目６−１　仙台パークビル１階,022-217-1452
齊藤こども医院,仙台市青葉区川平３丁目４２−３０,022-277-3710
齋藤内科医院,仙台市青葉区上杉５丁目３−６５,022-221-2977
さかいたけおクリニック,仙台市青葉区木町通１丁目５－１２,022-263-4976
さがら内科クリニック,仙台市青葉区小松島４丁目２７−３３,022-728-8558
さくやま小児科クリニック,仙台市青葉区南吉成４丁目１３−２,022-279-9161
桜ヶ丘　あおぞら内科,仙台市青葉区桜ケ丘２丁目１３−３,022-279-0255
桜ヶ丘クリニック,仙台市青葉区桜ヶ丘７丁目２２−８,022-303-2555
ささきクリニック,仙台市青葉区旭ヶ丘３丁目１５−３１,022-727-7855
佐々木内科医院,仙台市青葉区子平町１５−３６,022-234-2267
佐藤韶矩医院,仙台市青葉区通町１丁目７−３３,022-234-0803
佐藤医院,仙台市青葉区中山４丁目１０−３３,022-278-7050
佐藤茂内科医院,仙台市青葉区中山８丁目２３−２,022-278-5865
佐藤内科医院,仙台市青葉区愛子東１丁目７−２８,022-392-5151
さはた内科クリニック,仙台市青葉区一番町３丁目６－１　一番町平和ビル５Ｆ　５０４,022-265-0515
柴崎内科小児科医院,仙台市青葉区八幡４丁目２−１１,022-271-7575
渋川内科医院,仙台市青葉区宮町５丁目１０−１５,022-272-5780
清水内科,仙台市青葉区錦町２丁目１−６,022-223-2532
白根胃腸クリニック,仙台市青葉区上杉２丁目１−３０,022-263-3151
シリウス外科・内科クリニック,仙台市青葉一番町２丁目４－１９　シリウス一番町３Ｆ,022-302-5990
神経内科クリニック仙台,仙台市青葉区中央３丁目１−２２　エキニア青葉通り６階,022-723-6523
ＪＲ仙台病院,仙台市青葉区五橋１丁目１−５,022-266-9671
ＪＣＨＯ仙台病院,仙台市青葉区堤町３丁目１６番１号,022-275-3111
定禅寺フローレンスクリニック,仙台市青葉区国分町２丁目１３－２１　定禅寺アップルスクエア６階,022-281-8671
すこやかクリニック,仙台市青葉区八幡２丁目４−１３,022-219-0052
すずきクリニック,仙台市青葉区栗生４丁目１２−３,022-391-0765
せせらぎクリニック,仙台市青葉区愛子東１丁目４－２７,022-797-8507
仙台エコー医療療育センター,仙台市青葉区芋沢字横前1-1,022-394-7711
仙台甲状腺クリニック,仙台市青葉区中央３丁目１−２２　エキニア青葉通り３階,022-722-0321
仙台合同庁舎診療所,仙台市青葉区本町３丁目１−１,
仙台市北部急患診療所,仙台市青葉区堤町１丁目１−２　エムズ北仙台２階,022-301-6611
仙台腎泌尿器科,仙台市青葉区南吉成３丁目１−３２,022-719-6622
仙台星陵クリニック,仙台市青葉区木町通２丁目４−４５,022-273-3533
せんだい総合健診クリニック,仙台市青葉区一番町１丁目９−１　仙台トラストタワー４階,022-221-0066
仙台内科睡眠クリニック,仙台市青葉区中央１丁目１－１　エスパル仙台４階,022-791-4159
仙台内科総合クリニック,仙台市青葉区上杉３丁目９−２５,022-217-1733
仙台中江病院,仙台市青葉区中江１丁目１０−１８,022-263-3031
仙台錦町診療所,仙台市青葉区上杉３丁目２－２８　アクス上杉ビル３階,022-222-7997
仙台ユナイテッドクリニック,仙台市青葉区中央１丁目８－４０　井門仙台駅前ビル９階,022-796-9358
仙微研クリニック,仙台市青葉区南吉成６丁目６−６,022-303-3044
高野原曽木医院,仙台市青葉区高野原４丁目１０−１４,022-391-3311
台原高柳病院,仙台市青葉区台原６丁目３−３３,022-273-2525
だいのはら殿塚クリニック,仙台市青葉区台原２丁目１０－２　アークヒルズ台原２０１,022-725-3614
台原内科クリニック,仙台市青葉区台原１丁目７−２８,022-727-1311
台原まことクリニック,仙台市青葉区台原５丁目１−５４,022-301-5567
千田内科,仙台市青葉区荒巻神明町１９−９,022-271-1183
千葉クリニック,仙台市青葉区三条町１１－２６,022-275-7333
中央診療所,仙台市青葉区中央１丁目３−１　ＡＥＲ１２Ｆ,022-263-4053
てらさわ小児科,仙台市青葉区中山２丁目２６−２０,022-303-1515
東西クリニック仙台,仙台市青葉区南吉成３丁目１−２３,022-277-6221
東北公済病院,仙台市青葉区国分町２丁目３−１１,022-227-2211
東北大学病院,仙台市青葉区星陵町１−１,022-717-7000
東北大学保健管理センター,仙台市青葉区川内４１,
東北福祉大学せんだんホスピタル,仙台市青葉区国見ケ丘６丁目６５−８,022-303-0125
東北労災病院,仙台市青葉区台原４丁目３−２１,022-275-1111
土橋内科,仙台市青葉区八幡２丁目１１−８,022-272-9220
内科佐藤病院,仙台市青葉区上杉２丁目３−１７,022-221-5566
中村クリニック,仙台市青葉区中央２丁目２−５　あおば通駅前ビル６Ｆ,022-212-3615
なかやま医院,仙台市青葉区中山４丁目１３－３６,022-725-6910
長野内科胃腸科,仙台市青葉区通町２丁目１７−１９,022-272-6677
南條クリニック,仙台市青葉区台原５丁目５−５,022-301-3711
錦ヶ丘ヒルズクリニック,仙台市青葉区錦ヶ丘７丁目２０－２,022-797-2492
西仙台病院,仙台市青葉区芋沢字新田５４−４,022-394-5721
橋本クリニック,仙台市青葉区柏木１丁目７－２８　柏木メディカルビル２Ｆ,022-718-6886
はちまん石川内科クリニック,仙台市青葉区八幡２丁目１８−２,022-272-9767
羽二生クリニック,仙台市青葉区柏木２丁目２−１４,022-273-1182
早川医院,仙台市青葉区上愛子字大道１８−１,022-392-3214
早坂病院,仙台市青葉区川内澱橋通３８,022-261-1611
ひがしかつやまクリニック,仙台市青葉区東勝山２丁目１４−１３,022-728-6501
東勝山なかざわ内科・アレルギー科,仙台市青葉区東勝山３丁目１４−１１,022-728-8181
東二番丁診療所,仙台市青葉区一番町１丁目９−１　仙台トラストタワー３Ｆ,022-221-5226
日野クリニック,仙台市青葉区愛子東２丁目３－１８,022-797-6131
ひろせ中央クリニック,仙台市青葉区落合２丁目４−１２,022-391-0755
ひろせ内科,仙台市青葉区愛子東１－８－８,022-797-0100
広瀬病院,仙台市青葉区郷六字大森４−２,022-226-2661
複十字健診センター,仙台市青葉区中山吉成２丁目３−１,022-719-5161
ふくじゅ草クリニック,仙台市青葉区八幡３丁目１−５０　レキシントンプラザ八幡２階,022-224-2910
藤ＧＳクリニック,仙台市青葉区国見４－３－９,022-272-2386
訪問クリニックちから,仙台市青葉区二日町１８−２６　二日町ＯＡビル４Ｆ,022-266-9070
堀田内科,仙台市青葉区立町１２−３,022-223-2660
前澤医科歯科クリニック,仙台市青葉区赤坂２丁目２３−１０,022-391-3977
松尾けんこうクリニック,仙台市青葉区高松２丁目１１−７４,022-727-1033
松沢医院,仙台市青葉区中央２丁目４−１１,022-261-3752
松原医院,仙台市青葉区愛子東２丁目３－６３,022-392-3111
三浦りょう内科クリニック,仙台市青葉区栗生６丁目１３－８,022-302-8757
三品内科,仙台市青葉区支倉町２−３７,022-227-3986
南町通り内科クリニック,仙台市青葉区一番町２丁目２−８　ＩＫＩビル２階,022-716-6277
南吉成クリニック,仙台市青葉区南吉成３丁目９−５,022-277-6611
宮城共立医院,仙台市青葉区上愛子字上遠野原９−７６,022-392-6631
宮城県対がん協会,仙台市青葉区上杉５丁目７−３０,022-263-1525
宮城県農協連診療所,仙台市青葉区上杉１丁目２−１６,
宮城県立こども病院,仙台市青葉区落合４丁目３−１７,022-391-5111
みやぎ台かねこ医院,仙台市青葉区みやぎ台３丁目２６−８,022-391-3611
宮城中央病院,仙台市青葉区上杉１丁目９−１７,022-224-1307
宮町整形外科クリニック,仙台市青葉区宮町４丁目６−１０,022-796-3271
宮町通りクリニック,仙台市青葉区宮町１丁目１−４８,022-223-2082
みよしメンタルクリニック,仙台市青葉区中央２丁目２－１０　仙都会館４階,022-797-7145
宗像靖彦クリニック,仙台市青葉区下愛子字観音堂１－１,022-399-6860
めときこどもクリニック,仙台市青葉区国見ケ丘１丁目１４−４,022-278-1041
杜のホスピタル・あおば,仙台市青葉区八幡６丁目９−３,022-718-8871
もりのみやこクリニック,仙台市青葉区本町２丁目１０－５　第７太田ビル４階,070-3953-9192
森洋子クリニック,仙台市青葉区中央１丁目３－１　AER　１０F,022-723-3360
森るり子内科クリニック,仙台市青葉区五橋１丁目６−２３,022-221-2119
師小児科医院,仙台市青葉区中央２丁目１０−１７,022-222-6247
やすだクリニック,仙台市青葉区桜ケ丘４丁目１９−１６,022-278-1731
やたべ内科・訪問診療クリニック,仙台市青葉区錦町１丁目９番８号,022-397-9904
矢野内科クリニック,仙台市青葉区中山台２丁目２６−１４,022-279-6551
山形内科医院,仙台市青葉区木町通１丁目１−１８,022-221-5678
山口胃腸科外科医院,仙台市青葉区上杉１丁目４−２８,022-223-3533
吉成台内科胃腸科,仙台市青葉区吉成台１丁目２－５,022-303-2320
予防福祉クリニック,仙台市青葉区国見１丁目１９－１,022-727-2266
りきおこどもクリニック,仙台市青葉区落合６丁目１０−１,022-797-4288
りょうベビー＆キッズクリニック,仙台市青葉区五橋２丁目１－１７　Cube Azure ２F,
若山医院,仙台市青葉区東勝山３丁目４－５,022-341-5575
あいざわクリニック,仙台市宮城野区銀杏町２６−７,022-296-0520
あおぞら在宅診療所　仙台東,仙台市宮城野区苦竹１丁目９－１,022-794-8910
阿部医院,仙台市宮城野区岩切字洞ノ口１９０-４,022-255-8218
阿部神経科,仙台市宮城野区小鶴１丁目１−１１,022-251-1804
五十嵐内科,仙台市宮城野区福室３丁目３７－５,022-355-9988
いのうえ小児科クリニック,仙台市宮城野区福室２丁目６−２４,022-254-1101
色川医院,仙台市宮城野区福田町２丁目５−１３,022-258-1051
岩切中央クリニック,仙台市宮城野区岩切分台１丁目２−５,022-255-2131
岩切病院,仙台市宮城野区岩切字稲荷２１,022-255-5555
うりぼうキッズクリニック,仙台市宮城野区岩切分台３丁目１－５,022-355-4515
遠藤クリニック,仙台市宮城野区福田町１丁目１−１８,022-258-3600
おおかた内科胃腸科医院,仙台市宮城野区鶴ヶ谷北１丁目１４−２１,022-251-5515
大山内科胃腸科,仙台市宮城野区燕沢３丁目１９−１,022-253-1733
小田原クリニック,仙台市宮城野区小田原１丁目６−４０,022-792-8080
おのでらクリニック,仙台市宮城野区銀杏町３５−１,022-236-7522
菅野医院,仙台市宮城野区小田原１丁目３−２７,022-256-4261
キッズクリニック田子,仙台市宮城野区田子西１丁目１０－９,022-290-9377
木下内科,仙台市宮城野区原町２丁目４−４３,022-257-0505
さいわい町ファミリークリニック,仙台市宮城野区幸町２丁目２１−８,022-781-9815
佐藤彰内科消化器科医院,仙台市宮城野区高砂１丁目２９−４,022-388-6338
さのクリニック,仙台市宮城野区小田原弓ノ町１００－１　４Ｆ,022-291-2680
産総研支部診療所東北分室,仙台市宮城野区苦竹４丁目２−１,022-237-5211
塩沢消化器内科,仙台市宮城野区燕沢２丁目１５−３０,022-251-2233
清水内科小児科医院,仙台市宮城野区萩野町２丁目１７−６,022-231-0280
庄司内科,仙台市宮城野区原町１丁目１−８０,022-293-7236
新田さいとうクリニック,仙台市宮城野区新田４丁目３３－１８,022-353-5780
新田東クリニック,仙台市宮城野区新田東２丁目１０−４,022-797-6700
自衛隊仙台病院,仙台市宮城野区南目館１−１,022-231-1111
スペルマン病院,仙台市宮城野区東仙台６丁目７−１,022-257-0231
せきこどもクリニック,仙台市宮城野区福室５丁目９−４０,022-388-8864
仙台医療センター,仙台市宮城野区宮城野２丁目１１－１２,022-293-1111
仙台駅東クリニック,仙台市宮城野区榴岡２丁目１−１２　ＫＩビル３階,022-299-3210
仙台高砂駅前メンタルクリニック,仙台市宮城野区高砂１丁目１５４－１１,022-290-5270
仙台東脳神経外科病院,仙台市宮城野区岩切１丁目１２−１,022-255-7117
仙台ペインクリニック,仙台市宮城野区新田東３丁目１４−１,022-236-1310
仙台森ビル内科クリニック,仙台市宮城野区榴岡４丁目２−３　仙台ＭＴビル２Ｆ,022-292-5678
たかはし内科,仙台市宮城野区東仙台２丁目５−３,022-257-3227
田子中央クリニック,仙台市宮城野区田子西２丁目２－２,022-387-9333
田島内科,仙台市宮城野区萩野町１丁目１１−１　萩野町Ｍビル１Ｆ,022-231-7222
田所ハートクリニック,仙台市宮城野区岩切字洞ノ口２２９−５,022-396-0810
丹野皮膚科内科小児科,仙台市宮城野区原町２丁目１−６９,022-297-1158
千葉内科,仙台市宮城野区栄２丁目２５−７,022-258-8776
中央クリニック,仙台市宮城野区榴岡２丁目１−６,022-297-6211
榴岡わたなべクリニック,仙台市宮城野区榴岡３丁目１１－１８　プレノ榴岡１Ｆ,022-298-6201
鶴ヶ谷クリニック,仙台市宮城野区鶴ヶ谷字舘下３５番地１,022-355-6121
てっぽう町かず内科,仙台市宮城野区鉄砲町東３番地の１６,022-355-4183
EPILEPSY CLINIC 仙台駅前 ベーテル,仙台市宮城野区名掛丁２０５－５　コンフォートホテル仙台東口１Ｆ,022-355-2525
東北医科薬科大学病院,仙台市宮城野区福室１丁目１２−１,022-259-1221
とざわクリニック,仙台市宮城野区東仙台４丁目７−１,022-298-6770
内科萱場クリニック,仙台市宮城野区小田原１-５-３２,022-256-5101
中嶋病院,仙台市宮城野区大梶１５－２７,022-291-5191
なかむら脳神経外科,仙台市宮城野区新田東１丁目８－１　新田東メディカルビル１Ｆ,022-232-0770
永井小児科,仙台市宮城野区宮城野１丁目２５−１０,022-256-3466
野口胃腸内科,仙台市宮城野区幸町１丁目１７−３２,022-234-7305
のむら内科心療内科クリニック,仙台市宮城野区岩切１丁目２６−２７,022-396-8755
のろこどもクリニック,仙台市宮城野区新田東１丁目８−１　新田東メディカルビル２Ｆ,022-788-3830
原町ささき内科,仙台市宮城野区原町１丁目３－５０,022-355-8880
光が丘内科クリニック,仙台市宮城野区幸町５丁目４－１　２０３,022-766-8511
ひかりクリニック,仙台市宮城野区鶴ヶ谷字京原７,022-781-9948
東仙台クリニック,仙台市宮城野区東仙台１丁目７−１,022-792-8661
東仙台リウマチ科内科クリニック,仙台市宮城野区新田東１丁目１７−５,022-237-5311
福井医院,仙台市宮城野区東宮城野４−２,022-236-8831
福住クリニック,仙台市宮城野区福住町４−１６,022-387-2322
福室クリニック,仙台市宮城野区福室５丁目１３−１５,022-259-5856
星内科小児科医院,仙台市宮城野区幸町２丁目２０−１３,022-256-1973
まひと内科クリニック,仙台市宮城野区高砂１丁目２４−３９,022-388-8228
まんてん堂,仙台市宮城野区新田東３丁目２−７,022-782-6260
みなとクリニック,仙台市宮城野区中野５丁目１番地の1,022-388-7617
みはるの杜診療所,仙台市宮城野区福室２丁目５−２７,022-254-7201
宮城県済生会こどもクリニック,仙台市宮城野区東仙台６丁目１−１,022-293-1281
みやぎの内科クリニック,仙台市宮城野区宮城野１丁目２１−７,022-292-7801
宮千代加藤内科医院,仙台市宮城野区宮千代１丁目２−９,022-235-8876
宮千代内科クリニック,仙台市宮城野区宮千代２丁目１９−７,022-797-3777
宮林こどもクリニック,仙台市宮城野区岩切今市東１８−２,022-255-2555
森川小児科アレルギー科,仙台市宮城野区小田原弓ノ町１００番地の１　２Ｆ,022-256-6211
やまだ内科胃腸科,仙台市宮城野区新田東１丁目８−１　新田東メディカルビル２Ｆ,022-237-8221
湯村医院,仙台市宮城野区岩切字若宮前８２-１,022-255-8011
葵会仙台病院,仙台市若林区荒井東１丁目６－８,022-380-1000
あべこども・アレルギークリニック,仙台市若林区なないろの里１丁目１５－１５,022-349-5486
荒井駅前のぐち内科クリニック,仙台市若林区荒井東１丁目３－１　イーストフォート２階,022-762-7221
あらい内科・胃腸内科クリニック,仙台市若林区荒井１丁目１－３,022-294-6633
あらまち内科クリニック,仙台市若林区荒町１２３　１２３ビル２Ｆ,022-225-0271
石田医院,仙台市若林区連坊小路５３,022-256-1237
いしばし消化器内視鏡クリニック,仙台市若林区木ノ下３丁目１６－２１　薬師堂ATTRA３Ｆ,022-369-3763
五橋駅前クリニック,仙台市若林区清水小路８　マルタマファイブリッジビル２F,022-796-3120
猪岡内科,仙台市若林区木ノ下１丁目２５−３１,022-295-3751
ＥＭＧ卸町クリニック,仙台市若林区中倉３丁目９－１０,022-778-0258
氏家クリニック,仙台市若林区一本杉町１４−１９,022-284-7551
Ｍ＆Ｔ在宅クリニック,仙台市若林区舟丁３番地,022-397-9297
大はしこどもクリニック,仙台市若林区沖野３丁目１２−３３,022-294-0084
沖野内科医院,仙台市若林区沖野６丁目２６-３０,022-285-8266
おきのメディカルクリニック,仙台市若林区沖野５丁目７－６,022-352-3126
おざわ女性総合クリニック,仙台市若林区荒町１９２,022-222-9716
おろしまちクリニック,仙台市若林区卸町３丁目１－２　卸町コミュニティプラザ２階,022-353-5725
角田記念まつだクリニック内科・消化器内科,仙台市若林区六丁の目中町１－１７,022-287-8611
門脇神経科内科クリニック,仙台市若林区三百人町１００,022-711-3288
かやば小児科医院,仙台市若林区中倉１丁目１１−３,022-237-0081
河原町病院,仙台市若林区南小泉字八軒小路４,022-222-8657
かんのキッズクリニック,仙台市若林区大和町２丁目６−３,022-762-5684
黒沢医院,仙台市若林区連坊１丁目１−４３,022-256-3769
こうのすクリニック,仙台市若林区河原町１丁目５−２６,022-796-5662
五十人町おおとも内科,仙台市若林区五十人町３５,022-286-8541
さくらい循環器・内科クリニック,仙台市若林区河原町１丁目１番５号　リライアンス河原町 2Ｆ,022-217-6757
さくら外科整形外科クリニック,仙台市若林区上飯田４丁目９−１８,022-289-2825
佐藤内科クリニック,仙台市若林区蒲町２７−２１,022-781-2521
七郷クリニック,仙台市若林区荒井３丁目２５－４,022-287-1475
清水内科外科医院,仙台市若林区若林５丁目４－５０,022-286-1586
しんてらこどもクリニック,仙台市若林区新寺１丁目８−１　コープエステート新寺ビル２Ｆ,022-298-6188
新寺内科,仙台市若林区新寺１丁目８－１　コープエステートビル２階,022-355-9623
ＧＩスズキクリニック,仙台市若林区新寺２丁目２−１１　新寺２１１ビル４Ｆ,022-293-0211
スガワラクリニック,仙台市若林区中倉１丁目１−５,022-284-1831
杉山内科消化器科,仙台市若林区中倉２丁目１−２０,022-239-5611
仙台産業医科診療所,仙台市若林区六丁の目西町１−４３,022-288-7701
仙台在宅支援たいようクリニック,仙台市若林区蒲町３０番３号,022-355-2533
仙台市急患センター,仙台市若林区舟丁６４−１２,022-266-6561
仙台中央病院,仙台市若林区新寺３丁目１３−６,022-297-0208
たかやなぎこども医院,仙台市若林区上飯田１丁目２１−１８,022-286-8811
高柳内科医院,仙台市若林区堰場１番地,022-222-4784
東部内科医院,仙台市若林区六丁の目中町１−５７,022-287-6333
東北医科薬科大学　若林病院,仙台市若林区大和町２丁目２９−１,022-236-5911
特別養護老人ホームチアフル遠見塚,仙台市若林区遠見塚１丁目１４−３０,022-286-2591
長島内科医院,仙台市若林区一本杉町１８−１１,022-235-8331
ながぬま内科クリニック,仙台市若林区沖野７丁目４３−２９,022-781-2551
なないろの里クリニック,仙台市若林区なないろの里１丁目１９－４　メデルなないろの里１階,022-352-7022
はなクリニック,仙台市若林区荒井２丁目１８－１１,022-288-8777
はやし内科クリニック,仙台市若林区大和町２丁目６−３　大和町メディカルセンター２Ｆ,022-762-5686
はんざわ内科胃腸科,仙台市若林区南石切町１４−１０,022-726-5381
堀田 修 クリニック,仙台市若林区六丁の目南町２−３９,022-390-6033
松永女性クリニック,仙台市若林区河原町１丁目３−１７,022-722-3288
佐藤内科クリニック,仙台市若林区蒲町２７−２１,022-781-2521
七郷クリニック,仙台市若林区荒井３丁目２５－４,022-287-1475
清水内科外科医院,仙台市若林区若林５丁目４－５０,022-286-1586
しんてらこどもクリニック,仙台市若林区新寺１丁目８−１　コープエステート新寺ビル２Ｆ,022-298-6188
新寺内科,仙台市若林区新寺１丁目８－１　コープエステートビル２階,022-355-9623
ＧＩスズキクリニック,仙台市若林区新寺２丁目２−１１　新寺２１１ビル４Ｆ,022-293-0211
スガワラクリニック,仙台市若林区中倉１丁目１−５,022-284-1831
杉山内科消化器科,仙台市若林区中倉２丁目１−２０,022-239-5611
仙台産業医科診療所,仙台市若林区六丁の目西町１−４３,022-288-7701
仙台在宅支援たいようクリニック,仙台市若林区蒲町３０番３号,022-355-2533
仙台市急患センター,仙台市若林区舟丁６４−１２,022-266-6561
仙台中央病院,仙台市若林区新寺３丁目１３−６,022-297-0208
たかやなぎこども医院,仙台市若林区上飯田１丁目２１−１８,022-286-8811
高柳内科医院,仙台市若林区堰場１番地,022-222-4784
東部内科医院,仙台市若林区六丁の目中町１−５７,022-287-6333
東北医科薬科大学　若林病院,仙台市若林区大和町２丁目２９−１,022-236-5911
特別養護老人ホームチアフル遠見塚,仙台市若林区遠見塚１丁目１４−３０,022-286-2591
長島内科医院,仙台市若林区一本杉町１８−１１,022-235-8331
ながぬま内科クリニック,仙台市若林区沖野７丁目４３−２９,022-781-2551
なないろの里クリニック,仙台市若林区なないろの里１丁目１９－４　メデルなないろの里１階,022-352-7022
はなクリニック,仙台市若林区荒井２丁目１８－１１,022-288-8777
はやし内科クリニック,仙台市若林区大和町２丁目６−３　大和町メディカルセンター２Ｆ,022-762-5686
